epoch,train_loss,val_loss,val_accuracy
1,1.5950,1.4290,47.83
2,1.3479,1.3443,51.40
3,1.2304,1.2546,55.22
4,1.1481,1.2080,56.75
5,1.0729,1.1873,57.17
6,1.0164,1.1368,59.44
7,0.9590,1.1623,59.15
8,0.9131,1.1534,59.33
9,0.8594,1.1771,59.56
10,0.8166,1.2345,57.80
