epoch,train_loss,val_loss,val_accuracy
1,1.6454,1.4121,49.16
2,1.3676,1.3213,52.62
3,1.2601,1.2776,54.18
4,1.1823,1.2158,56.57
5,1.1292,1.1838,58.11
6,1.0872,1.1421,59.43
7,1.0467,1.1939,58.73
8,1.0173,1.1650,59.45
9,0.9878,1.1445,59.52
10,0.9634,1.1096,61.46
